Project;Github Link;Github API;Star
com.alibaba:druid;https://github.com/alibaba/druid;https://api.github.com/repos/alibaba/druid;17752
com.hankcs:hanlp;https://github.com/hankcs/HanLP;https://api.github.com/repos/hankcs/HanLP;13933
